,id,populism,values,populism_values,psize,psize_seat,anger,disgust,fear,happy,sad,surprise,neutral,negative,populism_2,lr_2
121,129,3.0,1.0,3.0,3.0,3.0,0.4498901098901099,0.003333333333333333,0.14835164835164835,0.002637362637362638,0.28761904761904766,0.01904761904761905,0.08732600732600734,0.8891941391941393,1,0
122,130,4.0,4.0,4.0,3.0,3.0,0.30509090909090897,0.06577272727272729,0.2446363636363636,0.03618181818181818,0.17222727272727273,0.0055,0.16881818181818184,0.7877272727272726,1,1
123,131,4.0,4.0,4.0,3.0,3.0,0.08744,0.0020800000000000003,0.30335999999999996,0.06376000000000001,0.24888000000000005,0.022400000000000003,0.27127999999999997,0.64176,1,1
124,132,4.0,4.0,4.0,3.0,3.0,0.4779264214046822,0.007792642140468228,0.14270903010033445,0.021672240802675588,0.24782608695652172,0.014581939799331102,0.08545150501672241,0.8762541806020067,1,1
125,133,4.0,4.0,4.0,3.0,3.0,0.2886142322097378,0.03228464419475655,0.0801498127340824,0.06741573033707866,0.4410861423220974,0.0032209737827715353,0.08524344569288392,0.8421348314606742,1,1
126,134,4.0,4.0,4.0,3.0,3.0,0.661951219512195,0.04134146341463414,0.06719512195121952,0.06121951219512194,0.13451219512195126,0.010853658536585367,0.02048780487804878,0.905,1,1
127,135,2.0,1.0,1.0,3.0,2.0,0.11323899371069183,6.289308176100629e-05,0.08235849056603772,0.036477987421383654,0.38408805031446536,0.0029874213836477985,0.37981132075471696,0.5797484276729559,0,0
128,136,2.0,1.0,1.0,3.0,2.0,0.17720689655172414,0.0006896551724137932,0.08779310344827586,0.21958620689655176,0.1504827586206897,0.007379310344827587,0.3553448275862069,0.41617241379310344,0,0
129,137,2.0,1.0,1.0,3.0,2.0,0.08524590163934426,0.0,0.26495081967213113,0.041245901639344267,0.14304918032786887,0.024590163934426236,0.44003278688524583,0.49324590163934423,0,0
130,138,2.0,1.0,1.0,3.0,2.0,0.2000996677740864,0.0,0.3775747508305648,0.03813953488372093,0.19269102990033224,0.012425249169435217,0.1777408637873754,0.7703654485049835,0,0
131,139,2.0,1.0,1.0,3.0,2.0,0.30073770491803276,0.009098360655737705,0.06848360655737705,0.34831967213114745,0.07897540983606559,0.012704918032786885,0.18032786885245902,0.45729508196721314,0,0
132,140,3.0,1.0,3.0,2.0,2.0,0.23655339805825246,0.005145631067961166,0.14694174757281556,0.11776699029126216,0.18077669902912627,0.08111650485436894,0.230873786407767,0.5694174757281555,1,0
133,141,3.0,1.0,3.0,2.0,2.0,0.15031413612565445,0.004293193717277487,0.33774869109947653,0.05005235602094242,0.13298429319371727,0.04821989528795811,0.2751832460732984,0.6253403141361258,1,0
